" Datos Básicos  - Paro Registrado"
"Datos de: INDICADOR=PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE"
"FAMILIA INDICADOR",,"LABORAL",,,,
"INDICADOR",,"PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE",
,,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,
,"05217 SAN MIGUEL DE CORNEJA",           .,           .,           .,           1,
,"05218 SAN MIGUEL DE SERREZUELA",           .,           1,           .,           1,
,"05219 SAN PASCUAL",           .,           1,           .,           .,
,"05220 SAN PEDRO DEL ARROYO",           3,           8,           .,          11,
,"05221 SANTA CRUZ DEL VALLE",           7,          11,           3,          16,
,"05222 SANTA CRUZ DE PINARES",           1,           2,           .,           1,
,"05224 SANTA MARIA DEL ARROYO",           1,           1,           .,           1,
,"05225 SANTA MARIA DEL BERROCAL",           .,           6,           .,           3,
,"05227 SANTA MARIA DEL TIETAR",           2,           6,           .,           3,
,"05228 SANTIAGO DEL COLLADO",           1,           2,           .,           1,
,"05229 SANTO DOMINGO DE LAS POSADAS",           .,           2,           .,           1,
,"05231 SAN VICENTE DE AREVALO",           2,           5,           .,           4,
,"05232 SERRADA (LA)",           1,           3,           1,           .,
,"05233 SERRANILLOS",           .,           .,           2,           7,
,"05235 SINLABAJOS",           .,           2,           .,           2,
,"05236 SOLANA DE AVILA",           .,           .,           .,           3,
,"05237 SOLANA DE RIOALMAR",           .,           2,           .,           1,
,"05238 SOLOSANCHO",           9,          16,           5,          15,
,"05239 SOTALBO",           .,           2,           .,           2,
,"05240 SOTILLO DE LA ADRADA",           9,          49,          10,          55,
,"05241 TIEMBLO (EL)",           6,          62,          15,          56,
,"05242 TIÑOSILLOS",           9,          17,           3,           6,
,"05243 TOLBAÑOS",           .,           2,           .,           .,
,"05244 TORMELLAS",           .,           1,           .,           .,
,"05245 TORNADIZOS DE AVILA",           3,           7,           1,           2,
,"05246 TORTOLES",           .,           1,           .,           .,
,"05247 TORRE (LA)",           2,           4,           .,           4,
,"05249 UMBRIAS",           .,           .,           .,           4,
,"05252 VALDECASA",           1,           .,           1,           1,
,"05253 VEGA DE SANTA MARIA",           .,           .,           .,           1,
,"05254 VELAYOS",           4,           5,           .,           3,
,"05256 VILLAFLOR",           .,           2,           .,           .,
,"05257 VILLAFRANCA DE LA SIERRA",           1,           .,           1,           3,
,"05258 VILLANUEVA DE GOMEZ",           1,           3,           .,           1,
,"05259 VILLANUEVA DEL ACERAL",           1,           3,           1,           4,
,"05260 VILLANUEVA DEL CAMPILLO",           .,           .,           .,           1,
,"05261 VILLAR DE CORNEJA",           .,           2,           .,           2,
,"05262 VILLAREJO DEL VALLE",           1,           5,           .,           8,
,"05263 VILLATORO",           .,           1,           .,           1,
