" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"34022 BALTANAS",           1,           .,
,"34023 VENTA DE BAÑOS",           3,           .,
,"34025 BARCENA DE CAMPOS",           .,           1,
,"34027 BARRUELO DE SANTULLAN",           1,           4,
,"34029 BECERRIL DE CAMPOS",           .,           2,
,"34032 BERZOSILLA",           .,           1,
,"34034 BOADILLA DEL CAMINO",           .,           1,
,"34036 BRAÑOSERA",           1,           1,
,"34037 BUENAVISTA DE VALDAVIA",           2,           1,
,"34047 CARRION DE LOS CONDES",           5,           2,
,"34049 CASTREJON DE LA PEÑA",           .,           3,
,"34055 CERVATOS DE LA CUEZA",           1,           .,
,"34056 CERVERA DE PISUERGA",           6,          10,
,"34069 DUEÑAS",           3,           1,
,"34074 FROMISTA",           3,           2,
,"34080 GUARDO",           2,           .,
,"34083 HERRERA DE PISUERGA",           2,           .,
,"34098 MAGAZ DE PISUERGA",           3,           .,
,"34101 MARCILLA DE CAMPOS",           .,           1,
,"34108 MONZON DE CAMPOS",           4,           .,
,"34110 MUDA",           .,           3,
,"34114 OLMOS DE OJEDA",           .,           2,
,"34120 PALENCIA",          19,           .,
,"34123 PAREDES DE NAVA",           2,           .,
,"34130 PIÑA DE CAMPOS",           .,           1,
,"34132 POBLACION DE CAMPOS",           .,           2,
,"34134 POLENTINOS",           .,           1,
,"34135 POMAR DE VALDIVIA",           .,           2,
,"34141 QUINTANA DEL PUENTE",           2,           .,
,"34143 QUINTANILLA DE ONSOÑA",           .,           1,
,"34146 REINOSO DE CERRATO",           .,           1,
,"34147 RENEDO DE LA VEGA",           .,           1,
,"34151 RESPENDA DE LA PEÑA",           .,           1,
,"34157 SALDAÑA",           4,           2,
,"34158 SALINAS DE PISUERGA",           .,           1,
,"34169 SANTERVAS DE LA VEGA",           1,           1,
,"34170 SANTIBAÑEZ DE ECLA",           .,           1,
,"34171 SANTIBAÑEZ DE LA PEÑA",           1,           4,
,"34175 SERNA (LA)",           .,           1,
,"34180 TAMARA DE CAMPOS",           .,           1,
,"34182 TORQUEMADA",           2,           .,
,"34185 TRIOLLO",           1,           2,
,"34199 VELILLA DEL RIO CARRION",           5,           5,
,"34206 VILLADA",           1,           .,
,"34211 VILLAHERREROS",           .,           2,
,"34215 VILLALCAZAR DE SIRGA",           2,           .,
,"34218 VILLALUENGA DE LA VEGA",           .,           1,
,"34220 VILLAMARTIN DE CAMPOS",           .,           1,
,"34225 VILLAMURIEL DE CERRATO",           1,           .,
,"34228 VILLANUÑO DE VALDAVIA",           .,           1,
,"34232 VILLARRAMIEL",           1,           .,
,"34242 VILLODRIGO",           2,           .,
,"34243 VILLOLDO",           2,           .,
,"34901 OSORNO LA MAYOR",           4,           .,
,"34904 PERNIA (LA)",           3,           3,
,"37002 AGALLAS",           .,           2,
,"37008 ALBA DE TORMES",           4,           .,
,"37010 ALBERCA (LA)",          10,           3,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",           .,           1,
,"37014 ALDEADAVILA DE LA RIBERA",           2,           1,
,"37027 ALMENARA DE TORMES",           1,           .,
,"37038 BABILAFUENTE",           1,           .,
,"37046 BEJAR",          12,           2,
,"37054 BODON (EL)",           .,           2,
,"37061 CABACO (EL)",           5,           .,
,"37063 CABEZA DE BEJAR (LA)",           1,           .,
,"37069 CALVARRASA DE ABAJO",           3,           .,
,"37071 CALZADA DE BEJAR (LA)",           .,           1,
,"37073 CALZADA DE VALDUNCIEL",           1,           .,
,"37078 CANDELARIO",           8,           3,
,"37080 CANTAGALLO",           2,           2,
,"37081 CANTALAPIEDRA",           1,           .,
,"37083 CANTARACILLO",           1,           .,
,"37090 CASAS DEL CONDE (LAS)",           .,           2,
,"37098 CEPEDA",           1,          12,
,"37107 CIUDAD RODRIGO",          18,           7,
,"37112 CRISTOBAL",           .,           1,
,"37127 ESPEJA",           1,           1,
,"37133 FRESNEDOSO",           1,           .,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           4,           .,
,"37136 FUENTEGUINALDO",           .,           5,
,"37137 FUENTELIANTE",           .,           1,
,"37138 FUENTERROBLE DE SALVATIERRA",           .,           1,
,"37139 FUENTES DE BEJAR",           .,           1,
,"37140 FUENTES DE OÑORO",           3,           .,
,"37142 GALINDO Y PERAHUY",           1,           .,
,"37145 GALLEGOS DE ARGAÑAN",           1,           1,
,"37146 GALLEGOS DE SOLMIRON",           .,           1,
,"37147 GARCIBUEY",           .,           5,
,"37149 GARCIRREY",           .,           1,
,"37156 GUIJUELO",           2,           .,
,"37158 HERGUIJUELA DE LA SIERRA",           1,           1,
,"37160 HINOJOSA DE DUERO",           1,           1,
,"37164 HUERTA",           .,           1,
,"37168 LAGUNILLA",           1,           .,
,"37170 LEDESMA",           3,           .,
,"37173 LUMBRALES",           1,           .,
,"37176 MADROÑAL",           .,           2,
,"37181 MARTIAGO",           .,           4,
,"37182 MARTINAMOR",           1,           .,
,"37184 MASUECO",           1,           .,
,"37190 MIEZA",           .,           1,
,"37193 MIRANDA DEL CASTAÑAR",           1,           8,
,"37194 MOGARRAZ",           1,           4,
,"37196 MONFORTE DE LA SIERRA",           .,           3,
,"37199 MONSAGRO",           .,           1,
,"37209 MOZARBEZ",           2,           1,
,"37211 NARROS DE MATALAYEGUA",           .,           1,
,"37214 NAVA DE FRANCIA",           .,           1,
,"37221 NAVASFRIAS",           1,           .,
,"37225 PAJARES DE LA LAGUNA",           1,           .,
,"37231 PARADA DE RUBIALES",           1,           .,
,"37234 PAYO (EL)",           .,           2,
,"37238 PEDROSILLO EL RALO",           3,           .,
,"37240 PELABRAVO",           1,           .,
,"37244 PEÑACABALLERA",           .,           2,
,"37245 PEÑAPARDA",           .,           1,
,"37246 PEÑARANDA DE BRACAMONTE",           4,           .,
,"37257 POZOS DE HINOJO",           .,           1,
,"37263 PUERTO DE BEJAR",           1,           1,
,"37267 RETORTILLO",           1,           .,
,"37269 ROBLEDA",           2,           .,
,"37274 SALAMANCA",          92,           .,
,"37279 SANCTI-SPIRITUS",           3,           .,
,"37284 SAN ESTEBAN DE LA SIERRA",           .,           2,
,"37285 SAN FELICES DE LOS GALLEGOS",           .,           1,
,"37286 SAN MARTIN DEL CASTAÑAR",           1,           5,
,"37287 SAN MIGUEL DE VALERO",           .,           1,
,"37293 SANTA MARIA DE SANDO",           .,           1,
,"37294 SANTA MARTA DE TORMES",           5,           .,
,"37300 SANTOS (LOS)",           .,           5,
,"37302 SAUCELLE",           1,           .,
,"37305 SEQUEROS",           1,           8,
,"37307 SERRADILLA DEL LLANO",           .,           1,
,"37313 SOTOSERRANO",           3,           1,
,"37316 TAMAMES",           1,           .,
,"37325 TORNADIZO (EL)",           .,           1,
,"37331 VALDEFUENTES DE SANGUSIN",           .,           1,
,"37343 VALLEJERA DE RIOFRIO",           1,           .,
,"37344 VECINOS",           1,           .,
,"37345 VEGA DE TIRADOS",           1,           .,
,"37348 VENTOSA DEL RIO ALMAR",           1,           .,
,"37355 VILLANUEVA DEL CONDE",           1,          12,
,"37356 VILLAR DE ARGAÑAN",           .,           1,
,"37362 VILLARES DE LA REINA",           2,           .,
,"37363 VILLARES DE YELTES",           .,           3,
,"37364 VILLARINO DE LOS AIRES",           1,           1,
,"37373 VILLAVIEJA DE YELTES",           2,           1,
,"37374 VILLORIA",           1,           .,
,"37376 VITIGUDINO",           3,           .,
,"40004 AGUILAFUENTE",           2,           .,
,"40008 ALDEALENGUA DE SANTA MARIA",           .,           1,
,"40020 ARCONES",           1,           .,
,"40024 AYLLON",           2,           3,
,"40026 BASARDILLA",           .,           1,
,"40032 BOCEGUILLAS",           4,           .,
,"40035 CABAÑAS DE POLENDOS",           .,           1,
,"40036 CABEZUELA",           1,           .,
,"40039 CAMPO DE SAN PEDRO",           .,           1,
,"40040 CANTALEJO",           4,           .,
,"40043 CARBONERO EL MAYOR",           2,           .,
,"40044 CARRASCAL DEL RIO",           1,           3,
,"40046 CASTILLEJO DE MESLEON",           2,           1,
,"40052 CEDILLO DE LA TORRE",           .,           2,
,"40053 CEREZO DE ABAJO",           1,           .,
,"40054 CEREZO DE ARRIBA",           1,           .,
,"40058 CODORNIZ",           1,           .,
,"40062 CUBILLO",           .,           1,
,"40063 CUELLAR",           5,           .,
,"40065 CHAÑE",           .,           1,
,"40076 ESPINAR (EL)",           5,           1,
,"40077 ESPIRDO",           1,           .,
,"40088 FUENTERREBOLLO",           .,           1,
,"40094 GARCILLAN",           1,           .,
,"40097 GRAJERA",           .,           1,
,"40099 HONRUBIA DE LA CUESTA",           1,           .,
,"40105 JUARROS DE RIOMOROS",           .,           3,
,"40107 LABAJOS",           3,           .,
,"40111 LASTRAS DEL POZO",           .,           1,
,"40112 LASTRILLA (LA)",           1,           .,
,"40115 MADERUELO",           .,           3,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",           1,           .,
,"40123 MATABUENA",           .,           1,
,"40129 MONTEJO DE AREVALO",           .,           1,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",           .,           1,
,"40138 NAVA DE LA ASUNCION",           1,           .,
,"40139 NAVAFRIA",           1,           1,
,"40145 NAVAS DE ORO",           1,           .,
,"40146 NAVAS DE SAN ANTONIO",           2,           .,
,"40148 NIEVA",           .,           1,
,"40150 OREJANA",           .,           1,
,"40156 PEDRAZA",           2,           1,
,"40161 CARABIAS",           2,           .,
,"40162 PRADENA",           1,           1,
,"40170 RIAZA",           4,           2,
,"40174 SACRAMENIA",           2,           .,
,"40178 SAN CRISTOBAL DE LA VEGA",           1,           .,
,"40179 SANCHONUÑO",           1,           .,
,"40181 REAL SITIO DE SAN ILDEFONSO",           4,           1,
,"40183 SAN MIGUEL DE BERNUY",           1,           .,
,"40185 SANTA MARIA LA REAL DE NIEVA",           1,           .,
,"40186 SANTA MARTA DEL CERRO",           .,           1,
,"40188 SANTIUSTE DE PEDRAZA",           .,           1,
,"40191 SANTO TOME DEL PUERTO",           1,           3,
,"40194 SEGOVIA",          36,           .,
,"40195 SEPULVEDA",           3,           1,
,"40199 SOTOSALBOS",           1,           1,
,"40200 TABANERA LA LUENGA",           .,           1,
,"40201 TOLOCIRIO",           1,           .,
,"40203 TORRECABALLEROS",           3,           2,
,"40206 TORRE VAL DE SAN PEDRO",           .,           2,
,"40207 TRESCASAS",           .,           1,
,"40208 TUREGANO",           3,           2,
,"40216 VALVERDE DEL MAJANO",           1,           1,
,"40225 VILLACASTIN",           7,           1,
,"40231 YANGUAS DE ERESMA",           .,           1,
,"40901 ORTIGOSA DEL MONTE",           2,           .,
,"40903 MARAZOLEJA",           .,           1,
,"42001 ABEJAR",           1,           1,
,"42004 AGREDA",           2,           .,
,"42019 ALMARZA",           2,           .,
,"42020 ALMAZAN",           7,           1,
,"42025 ARCOS DE JALON",           5,           .,
,"42032 BAYUBAS DE ABAJO",           .,           1,
,"42035 BERLANGA DE DUERO",           1,           2,
,"42042 BUITRAGO",           .,           1,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",           6,           1,
,"42046 CALATAÑAZOR",           2,           1,
,"42055 CASAREJOS",           .,           2,
