" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"37109 COLMENAR DE MONTEMAYOR",           .,          12,
,"37112 CRISTOBAL",           .,          23,
,"37113 CUBO DE DON SANCHO (EL)",           .,           5,
,"37114 CHAGARCIA MEDIANERO",           .,           6,
,"37115 DIOS LE GUARDE",           .,           8,
,"37119 ENCINA (LA)",           .,          29,
,"37121 ENCINAS DE ABAJO",           .,          25,
,"37124 ENDRINAL",           .,          33,
,"37127 ESPEJA",          49,          57,
,"37130 FORFOLEDA",           .,          34,
,"37131 FRADES DE LA SIERRA",           .,          11,
,"37132 FREGENEDA (LA)",           .,          58,
,"37133 FRESNEDOSO",          25,           .,
,"37135 FUENTE DE SAN ESTEBAN (LA)",         101,          28,
,"37136 FUENTEGUINALDO",           .,         106,
,"37137 FUENTELIANTE",           .,          59,
,"37138 FUENTERROBLE DE SALVATIERRA",           .,          79,
,"37139 FUENTES DE BEJAR",           .,          59,
,"37140 FUENTES DE OÑORO",          50,          27,
,"37142 GALINDO Y PERAHUY",          24,          17,
,"37143 GALINDUSTE",           .,          32,
,"37145 GALLEGOS DE ARGAÑAN",           7,           3,
,"37146 GALLEGOS DE SOLMIRON",           .,           2,
,"37147 GARCIBUEY",           .,         123,
,"37149 GARCIRREY",           .,           9,
,"37152 GOMECELLO",           .,          14,
,"37155 GUIJO DE AVILA",           .,          24,
,"37156 GUIJUELO",          50,           7,
,"37158 HERGUIJUELA DE LA SIERRA",          25,          38,
,"37160 HINOJOSA DE DUERO",          17,          49,
,"37161 HORCAJO DE MONTEMAYOR",          20,           .,
,"37162 HORCAJO MEDIANERO",          13,          38,
,"37163 HOYA (LA)",           .,         151,
,"37164 HUERTA",           .,          32,
,"37167 JUZBADO",           .,          19,
,"37168 LAGUNILLA",           4,          60,
,"37170 LEDESMA",          97,          85,
,"37172 LINARES DE RIOFRIO",           .,         155,
,"37173 LUMBRALES",          25,          47,
,"37174 MACOTERA",           .,          19,
,"37176 MADROÑAL",           .,          91,
,"37177 MAILLO (EL)",           .,          34,
,"37179 MANCERA DE ABAJO",           .,          15,
,"37180 MANZANO (EL)",           .,          18,
,"37181 MARTIAGO",           .,         100,
,"37182 MARTINAMOR",          25,          53,
,"37184 MASUECO",          25,          78,
,"37185 CASTELLANOS DE VILLIQUERA",           .,          18,
,"37187 MATILLA DE LOS CAÑOS DEL RIO",           .,          16,
,"37188 MAYA (LA)",           .,          17,
,"37190 MIEZA",           .,          36,
,"37192 MIRANDA DE AZAN",           3,          15,
,"37193 MIRANDA DEL CASTAÑAR",          52,         352,
,"37194 MOGARRAZ",          43,         190,
,"37196 MONFORTE DE LA SIERRA",           .,          26,
,"37197 MONLEON",           .,          30,
,"37199 MONSAGRO",           .,          57,
,"37201 MONTEMAYOR DEL RIO",          23,          40,
,"37202 MONTERRUBIO DE ARMUÑA",           .,           9,
,"37203 MONTERRUBIO DE LA SIERRA",           .,           7,
,"37204 MORASVERDES",           .,           3,
,"37205 MORILLE",           .,          12,
,"37207 MORISCOS",           .,          22,
,"37208 MORONTA",           .,           5,
,"37209 MOZARBEZ",          34,           5,
,"37211 NARROS DE MATALAYEGUA",           .,          63,
,"37212 NAVACARROS",           .,          98,
,"37213 NAVA DE BEJAR",           .,          15,
,"37214 NAVA DE FRANCIA",           .,          19,
,"37217 NAVALMORAL DE BEJAR",           .,           8,
,"37218 NAVAMORALES",           .,           2,
,"37219 NAVARREDONDA DE LA RINCONADA",           .,           4,
,"37221 NAVASFRIAS",          15,          89,
,"37225 PAJARES DE LA LAGUNA",          24,           .,
,"37226 PALACIOS DEL ARZOBISPO",           .,          28,
,"37229 PALENCIA DE NEGRILLA",           .,           6,
,"37230 PARADA DE ARRIBA",           .,           8,
,"37231 PARADA DE RUBIALES",          14,           .,
,"37233 PASTORES",           .,          63,
,"37234 PAYO (EL)",           .,          43,
,"37237 PEDROSILLO DE LOS AIRES",           .,           1,
,"37238 PEDROSILLO EL RALO",          58,          15,
,"37240 PELABRAVO",          60,          18,
,"37242 PELAYOS",           .,          12,
,"37244 PEÑACABALLERA",           .,          95,
,"37245 PEÑAPARDA",           .,          31,
,"37246 PEÑARANDA DE BRACAMONTE",         111,           .,
,"37250 PEREÑA DE LA RIBERA",           .,          69,
,"37252 PINEDAS",           .,          17,
,"37257 POZOS DE HINOJO",           .,          57,
,"37258 PUEBLA DE AZABA",           .,          22,
,"37261 PUENTE DEL CONGOSTO",          13,          60,
,"37263 PUERTO DE BEJAR",          25,         202,
,"37267 RETORTILLO",          25,          13,
,"37268 RINCONADA DE LA SIERRA (LA)",           .,          61,
,"37269 ROBLEDA",          43,          23,
,"37272 SAELICES EL CHICO",           .,          20,
,"37274 SALAMANCA",        2577,           1,
,"37275 SALDEANA",           .,           5,
,"37277 SALVATIERRA DE TORMES",           .,          18,
,"37279 SANCTI-SPIRITUS",          75,          48,
,"37281 SANCHON DE LA SAGRADA",           .,           5,
,"37283 SANDO",           .,          23,
,"37284 SAN ESTEBAN DE LA SIERRA",           .,         244,
,"37285 SAN FELICES DE LOS GALLEGOS",           .,         108,
,"37286 SAN MARTIN DEL CASTAÑAR",          25,         204,
,"37287 SAN MIGUEL DE VALERO",          21,         153,
,"37290 SAN PEDRO DEL VALLE",           .,          21,
,"37291 SAN PEDRO DE ROZADOS",           .,          34,
,"37292 SAN PELAYO DE GUAREÑA",           .,          19,
,"37293 SANTA MARIA DE SANDO",           .,          25,
,"37294 SANTA MARTA DE TORMES",         207,           .,
,"37296 SANTIAGO DE LA PUEBLA",           .,          11,
,"37297 SANTIBAÑEZ DE BEJAR",           .,           4,
,"37298 SANTIBAÑEZ DE LA SIERRA",           .,          22,
,"37299 SANTIZ",           .,          21,
,"37300 SANTOS (LOS)",           .,         144,
,"37301 SARDON DE LOS FRAILES",           .,           6,
,"37302 SAUCELLE",          39,         307,
,"37305 SEQUEROS",          25,         333,
,"37306 SERRADILLA DEL ARROYO",           1,          45,
,"37307 SERRADILLA DEL LLANO",           .,          60,
,"37309 SIERPE (LA)",           .,          14,
,"37311 SOBRADILLO",           .,          52,
,"37312 SORIHUELA",           .,          46,
,"37313 SOTOSERRANO",          43,         295,
,"37314 TABERA DE ABAJO",           .,           8,
,"37316 TAMAMES",          25,          26,
,"37319 TEJADO (EL)",           .,          10,
,"37321 TENEBRON",           .,          15,
,"37322 TERRADILLOS",           .,          20,
,"37323 TOPAS",           .,          22,
,"37325 TORNADIZO (EL)",           3,          31,
,"37327 TORRESMENUDAS",           .,          12,
,"37328 TRABANCA",           .,          49,
,"37331 VALDEFUENTES DE SANGUSIN",           .,          38,
,"37334 VALDELAGEVE",           .,          12,
,"37336 VALDEMIERQUE",           .,          16,
,"37338 VALDUNCIEL",           .,           4,
,"37339 VALERO",           .,          19,
,"37340 VALSALABROSO",           .,           8,
,"37341 VALVERDE DE VALDELACASA",           .,          14,
,"37342 VALVERDON",          20,           .,
,"37343 VALLEJERA DE RIOFRIO",          25,           3,
,"37344 VECINOS",          25,           8,
,"37345 VEGA DE TIRADOS",          25,          43,
,"37346 VEGUILLAS (LAS)",           .,          33,
,"37347 VELLES (LA)",           .,          30,
,"37348 VENTOSA DEL RIO ALMAR",          25,           .,
,"37350 VILVESTRE",           .,          58,
,"37351 VILLAFLORES",           .,           8,
,"37352 VILLAGONZALO DE TORMES",           .,          21,
,"37353 VILLALBA DE LOS LLANOS",           .,           3,
,"37354 VILLAMAYOR",          46,           .,
,"37355 VILLANUEVA DEL CONDE",          21,         482,
,"37356 VILLAR DE ARGAÑAN",           .,          14,
,"37357 VILLAR DE CIERVO",           .,          56,
,"37359 VILLAR DE LA YEGUA",           .,          44,
,"37360 VILLAR DE PERALONSO",          17,           .,
,"37362 VILLARES DE LA REINA",         125,           4,
,"37363 VILLARES DE YELTES",           .,         101,
,"37364 VILLARINO DE LOS AIRES",          24,          68,
,"37365 VILLARMAYOR",           .,           3,
,"37370 VILLASECO DE LOS REYES",           .,          34,
,"37371 VILLASRUBIAS",           .,          19,
,"37372 VILLAVERDE DE GUAREÑA",           .,          33,
,"37373 VILLAVIEJA DE YELTES",          16,          50,
,"37374 VILLORIA",          25,          24,
,"37376 VITIGUDINO",          65,          56,
,"37377 YECLA DE YELTES",           .,          24,
,"37379 ZAMAYON",           .,          20,
,"37380 ZARAPICOS",           .,          54,
,"37381 ZARZA DE PUMAREDA (LA)",           .,          14,
,"40001 ABADES",          18,          29,
,"40002 ADRADA DE PIRON",           .,          50,
,"40003 ADRADOS",           .,          19,
,"40004 AGUILAFUENTE",          41,          82,
,"40007 ALDEALENGUA DE PEDRAZA",           .,          26,
,"40008 ALDEALENGUA DE SANTA MARIA",           .,          33,
,"40009 ALDEANUEVA DE LA SERREZUELA",           .,          15,
,"40013 ALDEASOÑA",           .,          36,
,"40014 ALDEHORNO",           .,           8,
,"40016 ALDEONTE",           .,           8,
,"40017 ANAYA",           3,           8,
,"40018 AÑE",           .,          11,
,"40019 ARAHUETES",           .,          17,
,"40020 ARCONES",          40,         126,
,"40021 AREVALILLO DE CEGA",           .,          14,
,"40022 ARMUÑA",           .,          64,
,"40024 AYLLON",          91,         286,
,"40025 BARBOLLA",           .,           6,
,"40026 BASARDILLA",           .,          16,
,"40029 BERCIMUEL",           .,           1,
,"40030 BERNARDOS",          14,         132,
,"40031 BERNUY DE PORREROS",           .,          76,
,"40032 BOCEGUILLAS",          75,          37,
,"40033 BRIEVA",           .,          65,
,"40034 CABALLAR",           .,          75,
,"40035 CABAÑAS DE POLENDOS",           .,         162,
,"40036 CABEZUELA",          24,          35,
,"40037 CALABAZAS DE FUENTIDUEÑA",           .,          21,
,"40039 CAMPO DE SAN PEDRO",           .,          51,
,"40040 CANTALEJO",         101,          37,
,"40043 CARBONERO EL MAYOR",          29,           9,
,"40044 CARRASCAL DEL RIO",          18,         184,
,"40045 CASLA",           .,         124,
,"40046 CASTILLEJO DE MESLEON",          48,          31,
,"40047 CASTRO DE FUENTIDUEÑA",           .,          28,
,"40048 CASTROJIMENO",           .,          21,
,"40049 CASTROSERNA DE ABAJO",          14,          33,
,"40051 CASTROSERRACIN",           .,           6,
,"40052 CEDILLO DE LA TORRE",           .,          53,
,"40053 CEREZO DE ABAJO",          25,           6,
,"40054 CEREZO DE ARRIBA",          39,           .,
,"40057 COCA",          19,          89,
,"40058 CODORNIZ",          12,          17,
,"40059 COLLADO HERMOSO",           .,          42,
,"40060 CONDADO DE CASTILNOVO",          13,          38,
,"40061 CORRAL DE AYLLON",           .,          52,
,"40062 CUBILLO",           .,          94,
,"40063 CUELLAR",         131,          99,
,"40065 CHAÑE",           .,          45,
,"40068 DOMINGO GARCIA",           .,          24,
,"40070 DURUELO",           .,          43,
,"40072 ENCINILLAS",           .,           7,
,"40074 ESCARABAJOSA DE CABEZAS",           .,          33,
,"40075 ESCOBAR DE POLENDOS",           .,         151,
,"40076 ESPINAR (EL)",         179,          70,
,"40077 ESPIRDO",          25,         136,
,"40078 FRESNEDA DE CUELLAR",           .,          42,
,"40079 FRESNO DE CANTESPINO",          24,          23,
,"40081 FRUMALES",           .,          12,
,"40083 FUENTE EL OLMO DE FUENTIDUEÑA",           .,           4,
,"40086 FUENTEPELAYO",           .,          37,
,"40088 FUENTERREBOLLO",           .,          48,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",          35,          30,
,"40092 FUENTIDUEÑA",           .,          85,
,"40093 GALLEGOS",           .,          49,
,"40094 GARCILLAN",           8,           .,
,"40095 GOMEZSERRACIN",           1,          19,
,"40097 GRAJERA",          22,          84,
,"40099 HONRUBIA DE LA CUESTA",          25,           .,
,"40100 HONTALBILLA",           .,          22,
,"40104 ITUERO Y LAMA",           8,          20,
,"40105 JUARROS DE RIOMOROS",           .,          67,
,"40106 JUARROS DE VOLTOYA",           .,          21,
,"40107 LABAJOS",          82,           .,
,"40108 LAGUNA DE CONTRERAS",           .,          13,
,"40110 LASTRAS DE CUELLAR",           .,           7,
,"40111 LASTRAS DEL POZO",           .,          29,
,"40112 LASTRILLA (LA)",         147,          22,
,"40113 LOSA (LA)",           .,           2,
,"40115 MADERUELO",          16,         121,
,"40118 MARAZUELA",           .,           6,
,"40119 MARTIN MIGUEL",           .,          41,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",          24,          30,
,"40122 MARUGAN",           2,          45,
,"40123 MATABUENA",           .,         144,
,"40125 MATILLA (LA)",           .,          41,
,"40126 MELQUE DE CERCOS",           .,          15,
,"40127 MEMBIBRE DE LA HOZ",           .,          13,
,"40128 MIGUELAÑEZ",           .,          66,
,"40129 MONTEJO DE AREVALO",           .,          26,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",           .,          34,
,"40131 MONTERRUBIO",           .,           9,
,"40132 MORAL DE HORNUEZ",           .,           1,
,"40134 MOZONCILLO",           .,          34,
,"40135 MUÑOPEDRO",           .,          27,
,"40136 MUÑOVEROS",           .,          50,
,"40138 NAVA DE LA ASUNCION",          25,          19,
,"40139 NAVAFRIA",          25,         110,
,"40140 NAVALILLA",           .,          38,
,"40145 NAVAS DE ORO",          18,          50,
,"40146 NAVAS DE SAN ANTONIO",          50,           .,
,"40148 NIEVA",           .,          42,
,"40149 OLOMBRADA",           .,          67,
,"40150 OREJANA",           .,          95,
,"40151 ORTIGOSA DE PESTAÑO",           .,           4,
,"40152 OTERO DE HERREROS",           .,          63,
,"40155 PALAZUELOS DE ERESMA",          36,          54,
,"40156 PEDRAZA",          94,         185,
,"40157 PELAYOS DEL ARROYO",           .,          83,
,"40161 CARABIAS",          44,           .,
,"40162 PRADENA",          22,         151,
,"40165 REBOLLO",           .,           5,
,"40170 RIAZA",          74,         152,
,"40172 RIOFRIO DE RIAZA",           .,          10,
,"40173 RODA DE ERESMA",           .,          11,
,"40174 SACRAMENIA",          41,          74,
,"40176 SAMBOAL",           .,          19,
,"40177 SAN CRISTOBAL DE CUELLAR",           .,          22,
,"40178 SAN CRISTOBAL DE LA VEGA",          16,           2,
,"40179 SANCHONUÑO",          25,          18,
,"40180 SANGARCIA",           .,          23,
,"40181 REAL SITIO DE SAN ILDEFONSO",         159,         149,
,"40182 SAN MARTIN Y MUDRIAN",           .,          18,
,"40183 SAN MIGUEL DE BERNUY",          25,          53,
,"40184 SAN PEDRO DE GAILLOS",           .,          30,
,"40185 SANTA MARIA LA REAL DE NIEVA",          39,         150,
,"40186 SANTA MARTA DEL CERRO",           .,          57,
,"40188 SANTIUSTE DE PEDRAZA",           .,          67,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",           .,          34,
,"40190 SANTO DOMINGO DE PIRON",           .,          44,
,"40191 SANTO TOME DEL PUERTO",          65,         106,
,"40192 SAUQUILLO DE CABEZAS",           .,          31,
,"40193 SEBULCOR",           .,          58,
,"40194 SEGOVIA",        1125,          58,
