" Datos Básicos  - Hospitales y Camas hospitalarias"
"Datos de: INDICADOR=HOSPITALES, CAMAS HOSPITALARIAS"
"FAMILIA INDICADOR",,"SANIDAD",,
"INDICADOR",,"HOSPITALES","CAMAS HOSPITALARIAS",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"37274 SALAMANCA",           2,        1095,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         425,
,"42173 SORIA",           1,         355,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1924,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          37,        9698,
"2013","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         198,
,"09059 BURGOS",           3,        1137,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1252,
,"24115 PONFERRADA",           3,         542,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         114,
,"34120 PALENCIA",           4,         920,
,"37274 SALAMANCA",           2,        1075,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         425,
,"42173 SORIA",           1,         336,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1924,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          36,        9636,
"2014","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         198,
,"09059 BURGOS",           3,        1137,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1261,
,"24115 PONFERRADA",           3,         542,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         113,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1051,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         425,
,"42173 SORIA",           1,         336,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1924,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          36,        9542,
"2015","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         168,
,"09059 BURGOS",           3,        1141,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1261,
,"24115 PONFERRADA",           3,         526,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         113,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1039,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         423,
,"42173 SORIA",           1,         325,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1924,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          36,        9475,
"2016","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         168,
,"09059 BURGOS",           3,        1141,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1261,
,"24115 PONFERRADA",           3,         526,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
