" Datos Básicos  - Restaurantes"
"Datos de: INDICADOR=RESTAURANTES"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"RESTAURANTES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"34055 CERVATOS DE LA CUEZA",           1,
,"34056 CERVERA DE PISUERGA",          10,
,"34059 CISNEROS",           1,
,"34067 DEHESA DE MONTEJO",           1,
,"34069 DUEÑAS",           9,
,"34074 FROMISTA",           3,
,"34077 FUENTES DE VALDEPERO",           2,
,"34080 GUARDO",           7,
,"34083 HERRERA DE PISUERGA",           5,
,"34098 MAGAZ DE PISUERGA",           2,
,"34108 MONZON DE CAMPOS",           3,
,"34120 PALENCIA",          88,
,"34123 PAREDES DE NAVA",           6,
,"34135 POMAR DE VALDIVIA",           1,
,"34141 QUINTANA DEL PUENTE",           4,
,"34157 SALDAÑA",           9,
,"34158 SALINAS DE PISUERGA",           1,
,"34169 SANTERVAS DE LA VEGA",           2,
,"34171 SANTIBAÑEZ DE LA PEÑA",           3,
,"34181 TARIEGO DE CERRATO",           4,
,"34182 TORQUEMADA",           1,
,"34185 TRIOLLO",           2,
,"34199 VELILLA DEL RIO CARRION",           8,
,"34215 VILLALCAZAR DE SIRGA",           2,
,"34217 VILLALOBON",           1,
,"34220 VILLAMARTIN DE CAMPOS",           1,
,"34225 VILLAMURIEL DE CERRATO",           1,
,"34231 VILLARRABE",           1,
,"34232 VILLARRAMIEL",           1,
,"34242 VILLODRIGO",           3,
,"34243 VILLOLDO",           1,
,"34901 OSORNO LA MAYOR",           4,
,"34904 PERNIA (LA)",           2,
,"37002 AGALLAS",           1,
,"37008 ALBA DE TORMES",           2,
,"37010 ALBERCA (LA)",           7,
,"37014 ALDEADAVILA DE LA RIBERA",           2,
,"37025 ALDEHUELA DE LA BOVEDA",           3,
,"37026 ALDEHUELA DE YELTES",           1,
,"37032 ARAPILES",           3,
,"37033 ARCEDIANO",           1,
,"37038 BABILAFUENTE",           1,
,"37046 BEJAR",          22,
,"37054 BODON (EL)",           1,
,"37061 CABACO (EL)",           2,
,"37067 CABRERIZOS",           2,
,"37069 CALVARRASA DE ABAJO",           1,
,"37073 CALZADA DE VALDUNCIEL",           4,
,"37078 CANDELARIO",           3,
,"37081 CANTALAPIEDRA",           1,
,"37082 CANTALPINO",           1,
,"37085 CARBAJOSA DE LA SAGRADA",           4,
,"37087 CARRASCAL DE BARREGAS",           1,
,"37092 CASTELLANOS DE MORISCOS",           1,
,"37107 CIUDAD RODRIGO",          28,
,"37115 DIOS LE GUARDE",           1,
,"37117 DOÑINOS DE SALAMANCA",           1,
,"37121 ENCINAS DE ABAJO",           1,
,"37127 ESPEJA",           2,
,"37132 FREGENEDA (LA)",           2,
,"37133 FRESNEDOSO",           1,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           5,
,"37136 FUENTEGUINALDO",           1,
,"37140 FUENTES DE OÑORO",           5,
,"37142 GALINDO Y PERAHUY",           2,
,"37147 GARCIBUEY",           1,
,"37151 GOLPEJAS",           1,
,"37156 GUIJUELO",           8,
,"37160 HINOJOSA DE DUERO",           1,
,"37161 HORCAJO DE MONTEMAYOR",           1,
,"37170 LEDESMA",           5,
,"37171 LEDRADA",           2,
,"37172 LINARES DE RIOFRIO",           3,
,"37173 LUMBRALES",           2,
,"37174 MACOTERA",           1,
,"37177 MAILLO (EL)",           1,
,"37182 MARTINAMOR",           1,
,"37183 MARTIN DE YELTES",           1,
,"37184 MASUECO",           1,
,"37185 CASTELLANOS DE VILLIQUERA",           2,
,"37193 MIRANDA DEL CASTAÑAR",           5,
,"37194 MOGARRAZ",           2,
,"37200 MONTEJO",           1,
,"37202 MONTERRUBIO DE ARMUÑA",           1,
,"37209 MOZARBEZ",           2,
,"37212 NAVACARROS",           1,
,"37214 NAVA DE FRANCIA",           6,
,"37238 PEDROSILLO EL RALO",           1,
,"37244 PEÑACABALLERA",           1,
,"37246 PEÑARANDA DE BRACAMONTE",           9,
,"37250 PEREÑA DE LA RIBERA",           2,
,"37263 PUERTO DE BEJAR",           1,
,"37267 RETORTILLO",           1,
,"37269 ROBLEDA",           1,
,"37274 SALAMANCA",         148,
,"37279 SANCTI-SPIRITUS",           5,
,"37286 SAN MARTIN DEL CASTAÑAR",           1,
,"37287 SAN MIGUEL DE VALERO",           2,
,"37294 SANTA MARTA DE TORMES",          11,
