COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,EMPRESAS,SERVICIOS_SANIDAD,ESCUELAS,DISTANCIA_CAPITAL,POBLACION_2030_PROY,VAR_2024_2030,VAR_2024_2030_PCT,VAR_2024_2030_PCT_PCT,PROP_ENVEJECIMIENTO_PCT,EMPRESAS_PCT,SERVICIOS_SANIDAD_PCT,ESCUELAS_PCT,DISTANCIA_CAPITAL_PCT,DIM_DEMOGRAFICA,DIM_ECONOMICA,DIM_SERVICIOS,DIM_ACCESIBILIDAD,DIM_DINAMICA_FUTURA,INDICE_VULNERABILIDAD,NIVEL_VULNERABILIDAD
42016,42016 ALIUD,21,0.0,0.0,0.0,0.0,32.1,12,-9,-42.857142857142854,0.027472527472527472,0.01098901098901099,0.717032967032967,0.9615384615384616,0.554945054945055,0.24725274725274726,0.01098901098901099,0.717032967032967,0.7582417582417582,0.24725274725274726,0.027472527472527472,0.35219780219780217,Baja
42017,42017 ALMAJANO,182,0.2346368715083799,16.0,2.0,0.0,19.9,253,71,39.010989010989015,0.7967032967032966,0.0989010989010989,0.13186813186813184,0.3296703296703297,0.554945054945055,0.07142857142857142,0.0989010989010989,0.13186813186813184,0.44230769230769235,0.07142857142857142,0.7967032967032966,0.3082417582417582,Baja
42018,42018 ALMALUEZ,124,0.496,5.0,4.0,0.0,72.7,151,27,21.774193548387096,0.6043956043956044,0.8241758241758241,0.3626373626373627,0.11813186813186816,0.554945054945055,0.8956043956043956,0.8241758241758241,0.3626373626373627,0.33653846153846156,0.8956043956043956,0.6043956043956044,0.6046703296703296,Alta
42019,42019 ALMARZA,626,0.3025477707006369,39.0,8.0,2.0,23.3,604,-22,-3.5143769968051117,0.29120879120879123,0.23076923076923078,0.08241758241758246,0.0357142857142857,0.06868131868131866,0.1043956043956044,0.23076923076923078,0.08241758241758246,0.05219780219780218,0.1043956043956044,0.29120879120879123,0.1521978021978022,Baja
42020,42020 ALMAZAN,5476,0.2505028341561529,338.0,4.0,8.0,35.9,5310,-166,-3.031409788166545,0.3021978021978022,0.12637362637362637,0.0,0.11813186813186816,0.0,0.2967032967032967,0.12637362637362637,0.0,0.05906593406593408,0.2967032967032967,0.3021978021978022,0.15686813186813187,Baja
42021,42021 ALMAZUL,60,0.5081967213114754,0.0,2.0,0.0,47.6,88,28,46.666666666666664,0.8131868131868132,0.8434065934065934,0.717032967032967,0.3296703296703297,0.554945054945055,0.4945054945054945,0.8434065934065934,0.717032967032967,0.44230769230769235,0.4945054945054945,0.8131868131868132,0.6620879120879121,Alta
42022,42022 ALMENAR DE SORIA,216,0.319634703196347,10.0,4.0,0.0,31.2,178,-38,-17.59259259259259,0.12637362637362637,0.2967032967032967,0.23351648351648346,0.11813186813186816,0.554945054945055,0.22527472527472528,0.2967032967032967,0.23351648351648346,0.33653846153846156,0.22527472527472528,0.12637362637362637,0.24368131868131865,Baja
42023,42023 ALPANSEQUE,51,0.4313725490196078,0.0,2.0,0.0,66.9,68,17,33.33333333333333,0.7417582417582418,0.6703296703296703,0.717032967032967,0.3296703296703297,0.554945054945055,0.8076923076923077,0.6703296703296703,0.717032967032967,0.44230769230769235,0.8076923076923077,0.7417582417582418,0.6758241758241759,Alta
42024,42024 ARANCON,76,0.4473684210526316,0.0,4.0,0.0,23.8,95,19,25.0,0.6373626373626373,0.7087912087912088,0.717032967032967,0.11813186813186816,0.554945054945055,0.10989010989010989,0.7087912087912088,0.717032967032967,0.33653846153846156,0.10989010989010989,0.6373626373626373,0.5019230769230769,Media
42025,42025 ARCOS DE JALON,1545,0.2849740932642487,101.0,13.0,3.0,92.5,1588,43,2.7831715210355985,0.3901098901098901,0.16483516483516483,0.04395604395604391,0.008241758241758212,0.038461538461538436,0.9835164835164835,0.16483516483516483,0.04395604395604391,0.023351648351648324,0.9835164835164835,0.3901098901098901,0.3211538461538461,Baja
