COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,EMPRESAS,SERVICIOS_SANIDAD,ESCUELAS,DISTANCIA_CAPITAL,POBLACION_2030_PROY,VAR_2024_2030,VAR_2024_2030_PCT,VAR_2024_2030_PCT_PCT,PROP_ENVEJECIMIENTO_PCT,EMPRESAS_PCT,SERVICIOS_SANIDAD_PCT,ESCUELAS_PCT,DISTANCIA_CAPITAL_PCT,DIM_DEMOGRAFICA,DIM_ECONOMICA,DIM_SERVICIOS,DIM_ACCESIBILIDAD,DIM_DINAMICA_FUTURA,INDICE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,CLUSTER,PCA_1,PCA_2
42071,42071 CUBO DE LA SOLANA,163,0.4355828220858895,0.0,5.0,0.0,24.6,156,-7,-4.294478527607362,0.2747252747252747,0.6758241758241759,0.717032967032967,0.0714285714285714,0.554945054945055,0.1373626373626373,0.6758241758241759,0.717032967032967,0.3131868131868132,0.1373626373626373,0.2747252747252747,0.4236263736263736,Baja,2,0.23793506268803266,1.0014284671456373
42073,42073 CUEVA DE AGREDA,69,0.5217391304347826,0.0,1.0,0.0,60.9,53,-16,-23.18840579710145,0.0989010989010989,0.8791208791208791,0.717032967032967,0.6785714285714286,0.554945054945055,0.7307692307692307,0.8791208791208791,0.717032967032967,0.6167582417582418,0.7307692307692307,0.0989010989010989,0.6085164835164836,Alta,1,-1.1751016082208867,0.3707924035323225
42075,42075 DEVANOS,72,0.5138888888888888,0.0,1.0,0.0,63.1,41,-31,-43.05555555555556,0.0164835164835164,0.8516483516483516,0.717032967032967,0.6785714285714286,0.554945054945055,0.7582417582417582,0.8516483516483516,0.717032967032967,0.6167582417582418,0.7582417582417582,0.0164835164835164,0.5920329670329669,Alta,1,-1.056760282469667,0.4677038884037062
42076,42076 DEZA,165,0.463855421686747,10.0,4.0,0.0,61.2,179,14,8.484848484848486,0.478021978021978,0.7252747252747253,0.2335164835164834,0.1181318681318681,0.554945054945055,0.7417582417582418,0.7252747252747253,0.2335164835164834,0.3365384615384615,0.7417582417582418,0.478021978021978,0.503021978021978,Media,0,0.62594718588477,-1.3095497186808616
42078,42078 DURUELO DE LA SIERRA,1026,0.3485436893203884,71.0,2.0,3.0,71.2,929,-97,-9.4541910331384,0.2032967032967033,0.4065934065934066,0.0576923076923077,0.3296703296703297,0.0384615384615384,0.8653846153846154,0.4065934065934066,0.0576923076923077,0.184065934065934,0.8653846153846154,0.2032967032967033,0.3434065934065934,Baja,0,2.243106261480173,-1.4106118193614305
42079,42079 ESCOBOSA DE ALMAZAN,20,0.7,0.0,1.0,0.0,55.5,26,6,30.0,0.7060439560439561,0.989010989010989,0.717032967032967,0.6785714285714286,0.554945054945055,0.6538461538461539,0.989010989010989,0.717032967032967,0.6167582417582418,0.6538461538461539,0.7060439560439561,0.7365384615384616,Alta,1,-1.967612050230651,-0.5814449634434427
42080,42080 ESPEJA DE SAN MARCELINO,151,0.4276315789473684,15.0,5.0,0.0,71.2,206,55,36.42384105960264,0.7802197802197802,0.6428571428571429,0.1456043956043956,0.0714285714285714,0.554945054945055,0.8653846153846154,0.6428571428571429,0.1456043956043956,0.3131868131868132,0.8653846153846154,0.7802197802197802,0.5494505494505495,Media,0,0.635357528431301,-2.2201538032508394
42081,42081 ESPEJON,128,0.3383458646616541,16.0,2.0,0.0,71.9,193,65,50.78125,0.8241758241758241,0.3681318681318681,0.1318681318681318,0.3296703296703297,0.554945054945055,0.8791208791208791,0.3681318681318681,0.1318681318681318,0.4423076923076923,0.8791208791208791,0.8241758241758241,0.5291208791208791,Media,0,0.6608260070297016,-1.8770207290973264
42082,42082 ESTEPA DE SAN JUAN,13,0.2307692307692307,0.0,0.0,0.0,26.4,12,-1,-7.6923076923076925,0.2362637362637362,0.0851648351648351,0.717032967032967,0.9615384615384616,0.554945054945055,0.1648351648351648,0.0851648351648351,0.717032967032967,0.7582417582417582,0.1648351648351648,0.2362637362637362,0.3923076923076923,Baja,2,-0.14543009416306374,2.361861091739958
42083,42083 FRECHILLA DE ALMAZAN,21,0.4761904761904761,0.0,0.0,0.0,44.4,63,42,200.0,0.989010989010989,0.7582417582417582,0.717032967032967,0.9615384615384616,0.554945054945055,0.4175824175824176,0.7582417582417582,0.717032967032967,0.7582417582417582,0.4175824175824176,0.989010989010989,0.728021978021978,Alta,1,-2.199829526236392,-0.041162938159464854
42084,42084 FRESNO DE CARACENA,19,0.5263157894736842,0.0,1.0,0.0,78.1,23,4,21.052631578947366,0.5989010989010989,0.8928571428571429,0.717032967032967,0.6785714285714286,0.554945054945055,0.9285714285714286,0.8928571428571429,0.717032967032967,0.6167582417582418,0.9285714285714286,0.5989010989010989,0.7508241758241758,Alta,1,-1.8512171672628892,-0.9913580373029147
42085,42085 FUENTEARMEGIL,150,0.6266666666666667,0.0,5.0,0.0,71.4,154,4,2.666666666666667,0.3708791208791209,0.9725274725274724,0.717032967032967,0.0714285714285714,0.554945054945055,0.8736263736263736,0.9725274725274724,0.717032967032967,0.3131868131868132,0.8736263736263736,0.3708791208791209,0.6494505494505495,Alta,1,-0.7676700376959429,-1.1588627424367377
42086,42086 FUENTECAMBRON,32,0.28125,0.0,2.0,0.0,86.9,41,9,28.125,0.6923076923076923,0.1538461538461538,0.717032967032967,0.3296703296703297,0.554945054945055,0.9615384615384616,0.1538461538461538,0.717032967032967,0.4423076923076923,0.9615384615384616,0.6923076923076923,0.5934065934065934,Alta,1,-0.23056557054158996,-1.0810079871530252
42087,42087 FUENTECANTOS,65,0.2307692307692307,0.0,1.0,0.0,14.8,46,-19,-29.230769230769237,0.0549450549450549,0.0851648351648351,0.717032967032967,0.6785714285714286,0.554945054945055,0.0439560439560439,0.0851648351648351,0.717032967032967,0.6167582417582418,0.0439560439560439,0.0549450549450549,0.3035714285714286,Baja,2,0.555419931215983,2.6718158535400605
42088,42088 FUENTELMONGE,61,0.5081967213114754,0.0,1.0,0.0,70.6,45,-16,-26.229508196721312,0.0769230769230769,0.8434065934065934,0.717032967032967,0.6785714285714286,0.554945054945055,0.8406593406593407,0.8434065934065934,0.717032967032967,0.6167582417582418,0.8406593406593407,0.0769230769230769,0.618956043956044,Alta,1,-1.1556211699519028,0.16840594886656607
42089,42089 FUENTELSAZ DE SORIA,64,0.3076923076923077,0.0,0.0,0.0,15.6,33,-31,-48.4375,0.0109890109890109,0.2472527472527472,0.717032967032967,0.9615384615384616,0.554945054945055,0.0604395604395604,0.2472527472527472,0.717032967032967,0.7582417582417582,0.0604395604395604,0.0109890109890109,0.3587912087912088,Baja,2,-0.10608135804735669,2.893558022963924
42090,42090 FUENTEPINILLA,78,0.4871794871794871,0.0,3.0,0.0,38.3,94,16,20.51282051282051,0.5934065934065934,0.7912087912087912,0.717032967032967,0.1895604395604395,0.554945054945055,0.3351648351648351,0.7912087912087912,0.717032967032967,0.3722527472527472,0.3351648351648351,0.5934065934065934,0.5618131868131868,Media,1,-0.5893122148758291,0.009205067244763762
42092,42092 FUENTES DE MAGAÑA,51,0.4230769230769231,0.0,1.0,0.0,45.8,59,8,15.68627450980392,0.554945054945055,0.6236263736263736,0.717032967032967,0.6785714285714286,0.554945054945055,0.4615384615384615,0.6236263736263736,0.717032967032967,0.6167582417582418,0.4615384615384615,0.554945054945055,0.5947802197802199,Alta,1,-1.0998712852072492,0.4065081684347603
42093,42093 FUENTESTRUN,52,0.3076923076923077,0.0,1.0,0.0,51.3,62,10,19.230769230769237,0.5769230769230769,0.2472527472527472,0.717032967032967,0.6785714285714286,0.554945054945055,0.5494505494505495,0.2472527472527472,0.717032967032967,0.6167582417582418,0.5494505494505495,0.5769230769230769,0.5414835164835164,Media,1,-0.5608903017670328,0.4214404988604987
42094,42094 GARRAY,785,0.1870229007633587,63.0,2.0,1.0,8.8,810,25,3.1847133757961785,0.4065934065934066,0.0384615384615384,0.0659340659340659,0.3296703296703297,0.0961538461538461,0.0164835164835164,0.0384615384615384,0.0659340659340659,0.2129120879120879,0.0164835164835164,0.4065934065934066,0.148076923076923,Baja,2,2.9971345695403024,0.6194078765241096
42095,42095 GOLMAYO,3059,0.1139033942558746,208.0,9.0,3.0,4.0,2617,-442,-14.449166394246484,0.1593406593406593,0.0219780219780219,0.0109890109890109,0.0247252747252747,0.0384615384615384,0.0054945054945054,0.0219780219780219,0.0109890109890109,0.0315934065934065,0.0054945054945054,0.1593406593406593,0.0458791208791208,Baja,2,3.9819214051190532,0.6482380849638325
42096,42096 GOMARA,288,0.3137931034482759,12.0,1.0,1.0,38.7,297,9,3.125,0.4010989010989011,0.2637362637362637,0.184065934065934,0.6785714285714286,0.0961538461538461,0.3461538461538461,0.2637362637362637,0.184065934065934,0.3873626373626374,0.3461538461538461,0.4010989010989011,0.3164835164835165,Baja,2,1.6418196408845405,0.1647075065779782
42097,42097 GORMAZ,26,0.1923076923076923,0.0,1.0,0.0,65.2,33,7,26.923076923076923,0.6703296703296703,0.0549450549450549,0.717032967032967,0.6785714285714286,0.554945054945055,0.7857142857142857,0.0549450549450549,0.717032967032967,0.6167582417582418,0.7857142857142857,0.6703296703296703,0.5689560439560439,Media,1,-0.4832218523473078,-0.17774501750791963
42098,42098 HERRERA DE SORIA,11,0.7272727272727273,0.0,1.0,0.0,58.5,15,4,36.36363636363637,0.7692307692307693,0.9945054945054944,0.717032967032967,0.6785714285714286,0.554945054945055,0.7087912087912088,0.9945054945054944,0.717032967032967,0.6167582417582418,0.7087912087912088,0.7692307692307693,0.7612637362637363,Alta,1,-2.076195705423719,-0.8287463969768545
42100,42100 HINOJOSA DEL CAMPO,25,0.6,0.0,1.0,0.0,45.1,33,8,32.0,0.728021978021978,0.9532967032967034,0.717032967032967,0.6785714285714286,0.554945054945055,0.456043956043956,0.9532967032967034,0.717032967032967,0.6167582417582418,0.456043956043956,0.728021978021978,0.6942307692307693,Alta,1,-1.8208396330431231,-0.11571274290685557
42103,42103 LANGA DE DUERO,716,0.3193863319386332,35.0,6.0,2.0,87.7,711,-5,-0.6983240223463687,0.3241758241758242,0.2912087912087912,0.0879120879120879,0.0521978021978022,0.0686813186813186,0.9725274725274724,0.2912087912087912,0.0879120879120879,0.0604395604395604,0.9725274725274724,0.3241758241758242,0.3472527472527472,Baja,0,2.5510142624493697,-2.029585040261726
42105,42105 LICERAS,49,0.4285714285714285,6.0,1.0,0.0,93.8,54,5,10.20408163265306,0.5,0.6510989010989011,0.3324175824175824,0.6785714285714286,0.554945054945055,0.989010989010989,0.6510989010989011,0.3324175824175824,0.6167582417582418,0.989010989010989,0.5,0.6178571428571429,Alta,1,-0.5066686220054613,-1.1972368737214316
42106,42106 LOSILLA (LA),13,0.3846153846153846,0.0,1.0,0.0,25.9,18,5,38.46153846153847,0.7857142857142857,0.5164835164835165,0.717032967032967,0.6785714285714286,0.554945054945055,0.1538461538461538,0.5164835164835165,0.717032967032967,0.6167582417582418,0.1538461538461538,0.7857142857142857,0.557967032967033,Media,1,-1.0004039612486308,0.8240101459122342
42107,42107 MAGAÑA,64,0.3492063492063492,10.0,3.0,0.0,38.1,98,34,53.125,0.8351648351648352,0.412087912087912,0.2335164835164834,0.1895604395604395,0.554945054945055,0.3296703296703296,0.412087912087912,0.2335164835164834,0.3722527472527472,0.3296703296703296,0.8351648351648352,0.4365384615384615,Media,2,0.8733544082392088,-0.6387929448450506
42108,42108 MAJAN,9,0.5555555555555556,0.0,1.0,0.0,60.8,21,12,133.33333333333331,0.9697802197802198,0.9230769230769232,0.717032967032967,0.6785714285714286,0.554945054945055,0.7225274725274725,0.9230769230769232,0.717032967032967,0.6167582417582418,0.7225274725274725,0.9697802197802198,0.7898351648351649,Alta,1,-2.184842617915818,-1.1618736114596624
42110,42110 MATALEBRERAS,81,0.2926829268292683,10.0,1.0,0.0,44.9,125,44,54.32098765432099,0.8461538461538461,0.1758241758241758,0.2335164835164834,0.6785714285714286,0.554945054945055,0.445054945054945,0.1758241758241758,0.2335164835164834,0.6167582417582418,0.445054945054945,0.8461538461538461,0.4634615384615384,Media,2,0.4273172572361915,-0.25271198728234057
42111,42111 MATAMALA DE ALMAZAN,254,0.4296875,13.0,3.0,0.0,44.7,278,24,9.448818897637794,0.489010989010989,0.6593406593406593,0.1703296703296702,0.1895604395604395,0.554945054945055,0.4340659340659341,0.6593406593406593,0.1703296703296702,0.3722527472527472,0.4340659340659341,0.489010989010989,0.425,Baja,0,0.9305368077472235,-0.5278691346476888
42113,42113 MEDINACELI,671,0.2938530734632684,71.0,12.0,1.0,78.9,779,108,16.095380029806257,0.5604395604395604,0.1868131868131868,0.0576923076923077,0.0164835164835165,0.0961538461538461,0.9368131868131868,0.1868131868131868,0.0576923076923077,0.0563186813186813,0.9368131868131868,0.5604395604395604,0.3596153846153846,Baja,0,2.5671765497050902,-2.322489091752763
42115,42115 MIÑO DE MEDINACELI,78,0.3461538461538461,7.0,3.0,0.0,75.1,119,41,52.56410256410257,0.8296703296703297,0.3956043956043956,0.3104395604395604,0.1895604395604395,0.554945054945055,0.912087912087912,0.3956043956043956,0.3104395604395604,0.3722527472527472,0.912087912087912,0.8296703296703297,0.564010989010989,Media,0,0.39946544318198174,-1.9468918891404987
