FECHA,COD_MUNICIPIO,MUNICIPIO,POBLACION_MUJERES,POBLACION_HOMBRES,EMIGRACIONES CON DESTINO A LA MISMA PROVINCIA,INMIGRACIONES PROCEDENTES DE LA MISMA PROVINCIA,EMIGRACIONES CON DESTINO A OTRA PROVINCIA DE CASTILLA Y LEÓN,INMIGRACIONES PROCEDENTES DE OTRA PROVINCIA DE CASTILLA Y LEÓN,EMIGRACIONES CON DESTINO A OTRAS COMUNIDADES AUTÓNOMAS,INMIGRACIONES PROCEDENTES DE OTRAS COMUNIDADES AUTÓNOMAS,EMIGRACIONES CON DESTINO A OTROS PAÍSES
2005,42116,42116 MIÑO DE SAN ESTEBAN,32,43,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42117,42117 MOLINOS DE DUERO,87,101,7.0,2.0,0.0,0.0,2.0,2.0,0.0
2005,42118,42118 MOMBLONA,15,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42119,42119 MONTEAGUDO DE LAS VICARIAS,122,135,9.0,0.0,0.0,2.0,8.0,9.0,0.0
2005,42120,42120 MONTEJO DE TIERMES,106,139,6.0,2.0,8.0,5.0,4.0,1.0,0.0
2005,42121,42121 MONTENEGRO DE CAMEROS,40,60,1.0,1.0,0.0,0.0,4.0,3.0,0.0
2005,42123,42123 MORON DE ALMAZAN,124,110,4.0,9.0,0.0,2.0,4.0,6.0,0.0
2005,42124,42124 MURIEL DE LA FUENTE,35,47,6.0,4.0,0.0,1.0,1.0,1.0,0.0
2005,42125,42125 MURIEL VIEJO,35,32,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42127,42127 NAFRIA DE UCERO,38,41,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42128,42128 NARROS,25,25,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42129,42129 NAVALENO,477,497,10.0,1.0,3.0,2.0,14.0,15.0,0.0
2005,42130,42130 NEPAS,33,48,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2005,42131,42131 NOLAY,39,46,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,42132,42132 NOVIERCAS,104,111,9.0,1.0,0.0,0.0,4.0,0.0,1.0
2005,42134,42134 OLVEGA,1633,1736,29.0,43.0,23.0,25.0,81.0,97.0,1.0
2005,42135,42135 ONCALA,43,62,6.0,3.0,0.0,0.0,1.0,3.0,0.0
2005,42139,42139 PINILLA DEL CAMPO,9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42140,42140 PORTILLO DE SORIA,8,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42141,42141 POVEDA DE SORIA (LA),59,65,3.0,9.0,0.0,1.0,1.0,4.0,0.0
2005,42142,42142 POZALMURO,47,53,6.0,12.0,0.0,0.0,0.0,1.0,1.0
2005,42144,42144 QUINTANA REDONDA,263,299,20.0,34.0,1.0,1.0,9.0,10.0,0.0
2005,42145,42145 QUINTANAS DE GORMAZ,85,99,8.0,0.0,0.0,0.0,3.0,0.0,0.0
2005,42148,42148 QUIÑONERIA,10,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42149,42149 RABANOS (LOS),188,279,10.0,16.0,0.0,2.0,11.0,6.0,0.0
2005,42151,42151 REBOLLAR,27,27,1.0,1.0,0.0,2.0,0.0,1.0,0.0
2005,42152,42152 RECUERDA,47,58,4.0,0.0,0.0,1.0,2.0,0.0,0.0
2005,42153,42153 RELLO,16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42154,42154 RENIEBLAS,57,69,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2005,42155,42155 RETORTILLO DE SORIA,107,120,6.0,2.0,0.0,1.0,5.0,13.0,0.0
2005,42156,42156 REZNOS,13,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2005,42157,42157 RIBA DE ESCALOTE (LA),11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42158,42158 RIOSECO DE SORIA,66,71,7.0,0.0,0.0,4.0,0.0,0.0,0.0
2005,42159,42159 ROLLAMIENTA,18,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42160,42160 ROYO (EL),145,168,5.0,5.0,3.0,0.0,2.0,8.0,0.0
2005,42161,42161 SALDUERO,88,98,6.0,0.0,0.0,0.0,0.0,1.0,0.0
2005,42162,42162 SAN ESTEBAN DE GORMAZ,1529,1629,29.0,18.0,13.0,17.0,39.0,41.0,1.0
2005,42163,42163 SAN FELICES,38,36,3.0,2.0,1.0,0.0,4.0,6.0,0.0
2005,42164,42164 SAN LEONARDO DE YAGÜE,1113,1187,36.0,12.0,21.0,39.0,34.0,16.0,0.0
2005,42165,42165 SAN PEDRO MANRIQUE,259,313,13.0,8.0,5.0,5.0,15.0,18.0,0.0
2005,42166,42166 SANTA CRUZ DE YANGUAS,28,37,4.0,0.0,0.0,1.0,3.0,5.0,0.0
2005,42167,42167 SANTA MARIA DE HUERTA,184,223,7.0,1.0,0.0,1.0,11.0,11.0,0.0
2005,42168,42168 SANTA MARIA DE LAS HOYAS,89,99,3.0,1.0,0.0,0.0,4.0,1.0,0.0
2005,42171,42171 SERON DE NAGIMA,110,119,15.0,31.0,0.0,14.0,3.0,11.0,0.0
2005,42172,42172 SOLIEDRA,19,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,42173,42173 SORIA,19401,17799,421.0,628.0,129.0,158.0,722.0,660.0,34.0
2005,42174,42174 SOTILLO DEL RINCON,104,111,9.0,4.0,1.0,0.0,5.0,2.0,0.0
2005,42175,42175 SUELLACABRAS,11,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2005,42176,42176 TAJAHUERCE,20,17,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2005,42177,42177 TAJUECO,48,57,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2005,42178,42178 TALVEILA,84,95,5.0,1.0,1.0,0.0,2.0,7.0,0.0
2005,42181,42181 TARDELCUENDE,296,284,15.0,2.0,1.0,0.0,4.0,4.0,0.0
2005,42182,42182 TARODA,36,36,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42183,42183 TEJADO,88,91,4.0,3.0,0.0,0.0,0.0,2.0,0.0
2005,42184,42184 TORLENGUA,45,49,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2005,42185,42185 TORREBLACOS,15,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42187,42187 TORRUBIA DE SORIA,33,47,2.0,0.0,0.0,5.0,1.0,1.0,0.0
2005,42188,42188 TREVAGO,47,28,0.0,1.0,0.0,0.0,6.0,2.0,0.0
2005,42189,42189 UCERO,46,48,3.0,9.0,0.0,0.0,4.0,7.0,0.0
2005,42190,42190 VADILLO,72,69,5.0,0.0,1.0,1.0,3.0,0.0,0.0
2005,42191,42191 VALDEAVELLANO DE TERA,113,121,5.0,13.0,1.0,2.0,6.0,14.0,0.0
2005,42192,42192 VALDEGEÑA,20,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2005,42193,42193 VALDELAGUA DEL CERRO,8,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2005,42194,42194 VALDEMALUQUE,120,124,2.0,2.0,0.0,0.0,3.0,1.0,0.0
2005,42195,42195 VALDENEBRO,75,78,14.0,1.0,1.0,0.0,2.0,3.0,0.0
2005,42196,42196 VALDEPRADO,9,11,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2005,42197,42197 VALDERRODILLA,48,53,4.0,5.0,0.0,0.0,2.0,2.0,0.0
2005,42198,42198 VALTAJEROS,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42200,42200 VELAMAZAN,50,72,2.0,0.0,0.0,0.0,2.0,3.0,0.0
2005,42201,42201 VELILLA DE LA SIERRA,16,18,1.0,0.0,1.0,0.0,2.0,0.0,0.0
2005,42202,42202 VELILLA DE LOS AJOS,17,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42204,42204 VIANA DE DUERO,29,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42205,42205 VILLACIERVOS,53,68,2.0,1.0,0.0,0.0,5.0,0.0,0.0
2005,42206,42206 VILLANUEVA DE GORMAZ,9,13,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2005,42207,42207 VILLAR DEL ALA,30,30,2.0,3.0,1.0,0.0,0.0,1.0,0.0
2005,42208,42208 VILLAR DEL CAMPO,13,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42209,42209 VILLAR DEL RIO,85,102,6.0,1.0,0.0,0.0,10.0,15.0,0.0
2005,42211,42211 VILLARES DE SORIA (LOS),53,56,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2005,42212,42212 VILLASAYAS,32,59,0.0,7.0,0.0,0.0,3.0,5.0,0.0
2005,42213,42213 VILLASECA DE ARCIEL,17,21,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2005,42215,42215 VINUESA,477,548,25.0,11.0,2.0,4.0,13.0,7.0,0.0
2005,42216,42216 VIZMANOS,12,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42217,42217 VOZMEDIANO,19,26,1.0,4.0,0.0,0.0,1.0,1.0,0.0
2005,42218,42218 YANGUAS,55,72,5.0,5.0,0.0,0.0,5.0,9.0,0.0
2005,42219,42219 YELO,24,31,1.0,3.0,0.0,0.0,0.0,2.0,0.0
2006,42001,42001 ABEJAR,194,212,12.0,11.0,3.0,2.0,5.0,8.0,0.0
2006,42003,42003 ADRADAS,34,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42004,42004 AGREDA,1595,1617,30.0,25.0,6.0,5.0,67.0,58.0,1.0
2006,42006,42006 ALCONABA,66,99,2.0,11.0,0.0,1.0,0.0,1.0,0.0
2006,42007,42007 ALCUBILLA DE AVELLANEDA,89,88,2.0,1.0,1.0,2.0,4.0,2.0,0.0
2006,42008,42008 ALCUBILLA DE LAS PEÑAS,33,34,3.0,0.0,0.0,0.0,1.0,3.0,0.0
2006,42009,42009 ALDEALAFUENTE,56,64,11.0,2.0,0.0,0.0,2.0,1.0,0.0
2006,42010,42010 ALDEALICES,16,13,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2006,42011,42011 ALDEALPOZO,13,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42012,42012 ALDEALSEÑOR,18,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42013,42013 ALDEHUELA DE PERIAÑEZ,23,26,1.0,0.0,0.0,0.0,0.0,4.0,0.0
2006,42014,42014 ALDEHUELAS (LAS),49,53,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42015,42015 ALENTISQUE,20,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42016,42016 ALIUD,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42017,42017 ALMAJANO,95,116,9.0,14.0,0.0,5.0,2.0,1.0,1.0
2006,42018,42018 ALMALUEZ,110,124,3.0,0.0,0.0,0.0,4.0,1.0,0.0
2006,42019,42019 ALMARZA,280,357,21.0,24.0,4.0,4.0,12.0,19.0,0.0
2006,42020,42020 ALMAZAN,2873,2854,69.0,84.0,14.0,16.0,98.0,142.0,9.0
2006,42021,42021 ALMAZUL,57,64,1.0,1.0,0.0,0.0,3.0,0.0,0.0
2006,42022,42022 ALMENAR DE SORIA,157,181,6.0,3.0,0.0,0.0,4.0,0.0,0.0
2006,42023,42023 ALPANSEQUE,45,48,1.0,1.0,0.0,0.0,5.0,1.0,0.0
2006,42024,42024 ARANCON,42,63,2.0,1.0,0.0,0.0,2.0,1.0,0.0
2006,42025,42025 ARCOS DE JALON,910,953,15.0,11.0,8.0,4.0,102.0,72.0,6.0
2006,42026,42026 ARENILLAS,11,18,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2006,42027,42027 AREVALO DE LA SIERRA,32,48,1.0,2.0,0.0,0.0,2.0,2.0,0.0
2006,42028,42028 AUSEJO DE LA SIERRA,31,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2006,42029,42029 BARAONA,92,106,2.0,3.0,1.0,1.0,2.0,0.0,0.0
2006,42030,42030 BARCA,41,72,0.0,4.0,0.0,1.0,0.0,0.0,0.0
2006,42031,42031 BARCONES,15,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42032,42032 BAYUBAS DE ABAJO,111,129,6.0,4.0,0.0,0.0,4.0,3.0,0.0
2006,42033,42033 BAYUBAS DE ARRIBA,29,34,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2006,42034,42034 BERATON,17,28,0.0,1.0,0.0,0.0,2.0,2.0,0.0
2006,42035,42035 BERLANGA DE DUERO,537,543,20.0,5.0,4.0,1.0,8.0,22.0,0.0
2006,42036,42036 BLACOS,32,35,5.0,0.0,0.0,2.0,0.0,0.0,0.0
2006,42037,42037 BLIECOS,16,25,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2006,42038,42038 BORJABAD,20,29,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42039,42039 BOROBIA,160,174,9.0,6.0,0.0,0.0,14.0,1.0,0.0
2006,42041,42041 BUBEROS,19,24,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2006,42042,42042 BUITRAGO,30,25,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2006,42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2542,2513,40.0,69.0,29.0,25.0,96.0,80.0,12.0
2006,42044,42044 CABREJAS DEL CAMPO,36,39,3.0,0.0,0.0,0.0,2.0,1.0,0.0
2006,42045,42045 CABREJAS DEL PINAR,193,239,15.0,9.0,4.0,3.0,16.0,15.0,0.0
2006,42046,42046 CALATAÑAZOR,27,34,1.0,3.0,0.0,0.0,1.0,0.0,0.0
2006,42048,42048 CALTOJAR,43,54,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42049,42049 CANDILICHERA,88,97,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42050,42050 CAÑAMAQUE,13,23,1.0,0.0,0.0,0.0,4.0,0.0,0.0
2006,42051,42051 CARABANTES,15,16,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2006,42052,42052 CARACENA,5,15,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2006,42053,42053 CARRASCOSA DE ABAJO,14,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0
