COD_MUNICIPIO,MUNICIPIO,CLUSTER,NIVEL_VULNERABILIDAD,INDICE_VULNERABILIDAD
42181,42181 TARDELCUENDE,2,Baja,0.3376373626373626
42182,42182 TARODA,1,Media,0.570054945054945
42183,42183 TEJADO,1,Media,0.5486263736263737
42184,42184 TORLENGUA,1,Alta,0.679945054945055
42185,42185 TORREBLACOS,1,Media,0.5881868131868132
42187,42187 TORRUBIA DE SORIA,1,Media,0.4673076923076923
42188,42188 TREVAGO,1,Media,0.5722527472527472
42189,42189 UCERO,0,Media,0.5041208791208791
42190,42190 VADILLO,1,Media,0.5381868131868133
42191,42191 VALDEAVELLANO DE TERA,2,Baja,0.4302197802197802
42192,42192 VALDEGEÑA,1,Media,0.4986263736263736
42193,42193 VALDELAGUA DEL CERRO,1,Alta,0.5887362637362638
42194,42194 VALDEMALUQUE,0,Media,0.5656593406593406
42195,42195 VALDENEBRO,1,Alta,0.6054945054945055
42196,42196 VALDEPRADO,1,Alta,0.7115384615384615
42197,42197 VALDERRODILLA,1,Alta,0.6049450549450549
42198,42198 VALTAJEROS,1,Alta,0.5978021978021978
42200,42200 VELAMAZAN,1,Media,0.5324175824175825
42201,42201 VELILLA DE LA SIERRA,1,Media,0.4950549450549449
42202,42202 VELILLA DE LOS AJOS,1,Alta,0.7964285714285715
42204,42204 VIANA DE DUERO,1,Media,0.4576923076923077
42205,42205 VILLACIERVOS,2,Baja,0.3978021978021978
42206,42206 VILLANUEVA DE GORMAZ,1,Alta,0.825
42207,42207 VILLAR DEL ALA,2,Baja,0.3282967032967033
42208,42208 VILLAR DEL CAMPO,1,Media,0.4936813186813186
42209,42209 VILLAR DEL RIO,2,Baja,0.3958791208791209
42211,42211 VILLARES DE SORIA (LOS),2,Baja,0.3148351648351648
42212,42212 VILLASAYAS,1,Media,0.5076923076923078
42213,42213 VILLASECA DE ARCIEL,1,Alta,0.6530219780219781
42215,42215 VINUESA,2,Baja,0.2695054945054945
42216,42216 VIZMANOS,1,Media,0.5403846153846154
42217,42217 VOZMEDIANO,1,Alta,0.6898351648351648
42218,42218 YANGUAS,2,Baja,0.3986263736263736
42219,42219 YELO,1,Alta,0.7815934065934066
