" Datos Básicos  - Farmacias"
"Datos de: INDICADOR=FARMACIAS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"FARMACIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"34059 CISNEROS",           1,
,"34069 DUEÑAS",           1,
,"34074 FROMISTA",           1,
,"34076 FUENTES DE NAVA",           1,
,"34079 GRIJOTA",           1,
,"34080 GUARDO",           3,
,"34083 HERRERA DE PISUERGA",           1,
,"34088 HUSILLOS",           1,
,"34092 LANTADILLA",           1,
,"34098 MAGAZ DE PISUERGA",           1,
,"34108 MONZON DE CAMPOS",           1,
,"34117 OSORNO",           1,
,"34120 PALENCIA",          34,
,"34123 PAREDES DE NAVA",           1,
,"34141 QUINTANA DEL PUENTE",           1,
,"34157 SALDAÑA",           2,
,"34158 SALINAS DE PISUERGA",           1,
,"34159 SAN CEBRIAN DE CAMPOS",           1,
,"34169 SANTERVAS DE LA VEGA",           1,
,"34171 SANTIBAÑEZ DE LA PEÑA",           1,
,"34176 SOTOBAÑADO Y PRIORATO",           1,
,"34181 TARIEGO DE CERRATO",           1,
,"34182 TORQUEMADA",           1,
,"34199 VELILLA DEL RIO CARRION",           1,
,"34206 VILLADA",           1,
,"34225 VILLAMURIEL DE CERRATO",           2,
,"34232 VILLARRAMIEL",           1,
,"34237 VILLAUMBRALES",           1,
,"34238 VILLAVIUDAS",           1,
,"34243 VILLOLDO",           1,
,"34901 OSORNO LA MAYOR",           1,
,"34904 PERNIA (LA)",           1,
,"37007 ALARAZ",           1,
,"37008 ALBA DE TORMES",           2,
,"37010 ALBERCA (LA)",           1,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",           1,
,"37014 ALDEADAVILA DE LA RIBERA",           1,
,"37016 ALDEALENGUA",           1,
,"37020 ALDEARRUBIA",           1,
,"37022 ALDEASECA DE LA FRONTERA",           1,
,"37023 ALDEATEJADA",           1,
,"37025 ALDEHUELA DE LA BOVEDA",           1,
,"37029 ANAYA DE ALBA",           1,
,"37031 ARABAYONA DE MOGICA",           1,
,"37032 ARAPILES",           1,
,"37035 ARMENTEROS",           1,
,"37038 BABILAFUENTE",           1,
,"37039 BAÑOBAREZ",           1,
,"37040 BARBADILLO",           1,
,"37044 BARRUECOPARDO",           1,
,"37046 BEJAR",           6,
,"37052 BOADA",           1,
,"37061 CABACO (EL)",           1,
,"37065 CABEZA DEL CABALLO",           1,
,"37067 CABRERIZOS",           1,
,"37068 CABRILLAS",           1,
,"37069 CALVARRASA DE ABAJO",           1,
,"37070 CALVARRASA DE ARRIBA",           1,
,"37073 CALZADA DE VALDUNCIEL",           1,
,"37077 CAMPO DE PEÑARANDA (EL)",           1,
,"37078 CANDELARIO",           1,
,"37081 CANTALAPIEDRA",           1,
,"37082 CANTALPINO",           1,
,"37083 CANTARACILLO",           1,
,"37085 CARBAJOSA DE LA SAGRADA",           1,
,"37087 CARRASCAL DE BARREGAS",           1,
