" Datos Básicos  - Campamentos de Turismo"
"Datos de: INDICADOR=CAMPAMENTOS DE TURISMO"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"CAMPAMENTOS DE TURISMO",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"42173 SORIA",           1,
,"42189 UCERO",           1,
,"42191 VALDEAVELLANO DE TERA",           1,
,"42215 VINUESA",           1,
,"47057 CUBILLAS DE SANTA MARTA",           1,
,"47114 PEÑAFIEL",           1,
,"47161 SIMANCAS",           1,
,"47165 TORDESILLAS",           1,
,"47194 VILORIA",           1,
,"49069 FIGUERUELA DE ARRIBA",           1,
,"49085 GALENDE",           3,
,"49166 PUEBLA DE SANABRIA",           1,
,"49200 SANTA CRISTINA DE LA POLVOROSA",           1,
,"49256 VILLANAZAR",           1,
,"49264 VILLAR DEL BUEY",           1,
,"49275 ZAMORA",           1,
,"TOTAL",         120,
"2006","05022 BARRACO (EL)",           2,
,"05054 CASAVIEJA",           1,
,"05089 GUISANDO",           1,
